cvalue(),jaccard(),loglikelihood(),mutual_expectation(),specific_frequency_biased_mutual_dependency(),tscore(),unigram_subtuples(),w_order(),w_tf_order(),specific_exponential_correlation(e=3.8),w_specific_exponential_correlation(e=1.15)
0.1333333333,0.4,0.0666666667,0.1333333333,0.0666666667,0.1333333333,0.0666666667,0,0.1333333333,0,0.0666666667
0.2,0.3833333333,0.05,0.1166666667,0.05,0.2333333333,0.0833333333,0,0.2333333333,0,0.0666666667
0.2444444444,0.3518518519,0.0481481481,0.1444444444,0.0407407407,0.3111111111,0.0851851852,0,0.3111111111,0,0.0666666667
0.275,0.3305555556,0.0444444444,0.1541666667,0.0347222222,0.3583333333,0.0805555556,0,0.3625,0,0.0666666667
0.2946666667,0.3097777778,0.0462222222,0.1713333333,0.0304444444,0.388,0.0777777778,0,0.3913333333,0,0.64
0.3066666667,0.2914814815,0.0459259259,0.1927777778,0.0272222222,0.4011111111,0.0740740741,0.0018518519,0.4038888889,0,0.0607407407
0.3159183673,0.27569161,0.0488888889,0.2101360544,0.0246938776,0.4050340136,0.073015873,0.00430839,0.4046938776,0,0.0602267574
0.3243452381,0.2620634921,0.0511111111,0.2213690476,0.0226488095,0.4054464286,0.0722222222,0.0058531746,0.4020238095,0,0.0599900794
0.3286360964,0.2518753674,0.0528395062,0.2288712522,0.0209553204,0.4007260435,0.070781893,0.0068489124,0.399329806,0,0.0599088771
0.3317724868,0.2426878307,0.0542222222,0.2386507937,0.019526455,0.3959867725,0.069037037,0.0074973545,0.3960634921,0,0.0599179894
0.3346692029,0.2349503695,0.0548025712,0.249462154,0.0183022869,0.3930458262,0.0671686563,0.0084686694,0.3947684639,0,0.0599805413
0.3368726952,0.228797098,0.0562542088,0.255988456,0.0177030223,0.3913105259,0.0662008979,0.0091518358,0.3938155363,0,0.0605377185
0.3393617778,0.2242150727,0.0570551671,0.2615435846,0.017130206,0.3896120831,0.0654477716,0.0100257577,0.3935023097,0,0.0614036533
0.340971991,0.2197643362,0.0577417027,0.2666714238,0.0165868919,0.3876329887,0.0645144274,0.0106701764,0.3929460222,0,0.062459855
0.3416479323,0.2154837508,0.058040404,0.2714118474,0.0160736917,0.3863833821,0.0634727248,0.0114403128,0.3937125837,0,0.0645180869
0.3426907699,0.2113910164,0.0580587121,0.2768444403,0.0155899193,0.3856719207,0.0626306795,0.0122877932,0.3938451306,0,0.0664752898
0.3430630545,0.2079527905,0.0578730209,0.2815513994,0.0151342263,0.3853613463,0.061714688,0.0129490649,0.3944378622,0,0.0683319913
0.3423167531,0.2044245491,0.0575385115,0.2862800253,0.0149107199,0.3859688436,0.06075523,0.0134642403,0.3955699151,0,0.0705028477
0.3416592693,0.2008675783,0.0574649241,0.2902338929,0.014864634,0.3868919977,0.0597736528,0.0140483015,0.3970957829,0,0.0723323377
0.3407429725,0.1978241994,0.0572583445,0.2937221983,0.0149547356,0.3875473978,0.0589516368,0.0145125531,0.3987409938,0,0.0743823875
0.3397854462,0.1952067205,0.0571016736,0.296968987,0.0149984632,0.3881403789,0.0582608181,0.0148796802,0.4001614907,0,0.0761313744
0.338527981,0.1926697759,0.0571232228,0.3001370633,0.0150054201,0.3889549346,0.0576787148,0.0151675184,0.4012560786,0.000137741,0.0777672761
0.3369158634,0.1902159546,0.0570340594,0.3030926668,0.0149831303,0.3900652746,0.0571873277,0.0153902287,0.4020836341,0.0003838002,0.079301024
0.3356091839,0.1879615861,0.0568567143,0.3062045464,0.0149375369,0.3911736659,0.056772115,0.0155591544,0.4031542234,0.00059929,0.080742185
0.3340248166,0.185776456,0.0566091124,0.3094230312,0.0148733688,0.3923800526,0.0563145637,0.0156834549,0.4045213878,0.0007886517,0.0819924976
0.3326175504,0.1835621741,0.0563056061,0.3127095221,0.0147944128,0.3938565595,0.0558251476,0.0157705804,0.4057281589,0.0009555576,0.0829809519
0.3312723188,0.1816103972,0.0560492028,0.3157596038,0.0147037189,0.3953643869,0.0553121906,0.0158266311,0.406704848,0.0011030656,0.0837484612
0.3302404843,0.1800562844,0.0557481258,0.3187681894,0.0146037562,0.3967204207,0.0547823334,0.0158566324,0.4075708313,0.0012337384,0.0846690093
0.3295544272,0.1786829603,0.0558075444,0.3218070985,0.0144965319,0.3980225703,0.0543201602,0.0158647469,0.4084195581,0.0013497371,0.085395841
0.32893965,0.1773194542,0.0557991448,0.3244876026,0.0143836846,0.3991995958,0.0538428216,0.0159285146,0.4093240914,0.001452894,0.0861048685
0.3285264042,0.1760392914,0.0557334769,0.3272009751,0.0142665556,0.4004047423,0.0533546556,0.015969669,0.4102026413,0.0015447708,0.0866571568
0.3282859958,0.1749000427,0.0556845141,0.3295410488,0.0142113508,0.4016290733,0.0528591976,0.0159914502,0.4110556838,0.0016267051,0.087204329
0.3281328542,0.1738241002,0.0556499971,0.3317373868,0.0141480132,0.4028652906,0.0523593321,0.0159966068,0.4117613732,0.0016998475,0.0876226857
0.3280551289,0.1727485356,0.0555703259,0.3336874406,0.014077916,0.40399209,0.0518574141,0.0159874793,0.4122805023,0.0018228623,0.0879867244
0.3279882477,0.1717856522,0.0555064118,0.3354732416,0.0140022204,0.4050753092,0.0514097873,0.0159660684,0.4128003791,0.0019340459,0.0883027499
0.3282910433,0.1707689726,0.0554048963,0.3370084499,0.0139219118,0.4061174559,0.0509591039,0.0159340891,0.4131649777,0.0020346434,0.0886276736
0.3284273214,0.1697085012,0.0552709924,0.3384187401,0.013837828,0.4069747635,0.0505557777,0.0159417142,0.4134909303,0.002125745,0.0890080797
0.3286487631,0.1686589239,0.0552015341,0.3397622913,0.013750683,0.4076684101,0.0501487235,0.0159838759,0.4137822585,0.0022083085,0.0895281811
0.3288565419,0.1678408011,0.0551448654,0.3410438631,0.0136610862,0.4081730772,0.0497394751,0.0160561719,0.4140863295,0.0022831777,0.0901254203
0.329051795,0.1670197811,0.0550579104,0.3421427665,0.0135695591,0.4087187503,0.0493293216,0.0161131009,0.4142341713,0.0023510982,0.0907889515
0.3292355406,0.1662774783,0.0549444615,0.343236647,0.0134765478,0.4091802997,0.048919346,0.0161563467,0.4142835857,0.0024127312,0.0913507122
0.3294464858,0.1656442654,0.0548078397,0.3441346407,0.0134202279,0.4094530288,0.0485104576,0.0161873936,0.4142836364,0.0024686639,0.0918589907
0.3297532108,0.165073126,0.0547591267,0.3448930022,0.0133605182,0.4097740238,0.0482115845,0.0162796644,0.4142759585,0.0025194197,0.0923547885
0.3302133651,0.1645583787,0.0546854,0.3455255993,0.0132979169,0.4101372863,0.047942313,0.0163573305,0.4143302928,0.0025654659,0.0928040254
0.3307765249,0.1640949415,0.054655354,0.3461106271,0.0132328603,0.4104387623,0.0476670517,0.0164547396,0.4143410599,0.002607221,0.0931779277
0.3313992154,0.1636152468,0.0546014097,0.3466205095,0.0131657314,0.4106529165,0.0473869551,0.0165381117,0.4143758636,0.0026450602,0.0934837636
0.3320137786,0.1631520282,0.0545563216,0.3470017541,0.0130968664,0.4108487726,0.0471332112,0.0166087509,0.4143717899,0.0027095006,0.093758215
0.3325910379,0.1626754813,0.0544903334,0.3472667639,0.0130265613,0.4109410436,0.046874649,0.0166678278,0.4143327942,0.0027687934,0.0939750577
0.3331892772,0.162215493,0.0544056355,0.3474821999,0.0129550766,0.4109954191,0.0466121787,0.016716395,0.4142346517,0.0028233523,0.0941674312
0.3336988249,0.1617445164,0.0543041895,0.3477325559,0.0128826417,0.410988844,0.0463466018,0.0168087338,0.4142166253,0.0028735519,0.0943374159
0.3341273883,0.1613668526,0.0541877546,0.3479628416,0.0128094591,0.4110553193,0.0460786241,0.0168892494,0.4141172861,0.0029197324,0.0945125249
0.3345065953,0.1610742948,0.0541072209,0.3481992564,0.0127357071,0.4111632298,0.0458088675,0.0169589335,0.4140430385,0.002962203,0.0946920178
0.3349353898,0.1607882128,0.0540119262,0.348393432,0.0126615435,0.4111899352,0.0455378802,0.0170186854,0.4139916747,0.0030012454,0.0948277682
0.3353629695,0.1605312752,0.0539262001,0.348594651,0.012587107,0.4111884755,0.0452661453,0.0170921849,0.4138926062,0.0030599786,0.0949464127
0.3357227612,0.1602571528,0.053849305,0.348802021,0.0125125205,0.4111833958,0.0449940887,0.0171560735,0.4137281676,0.0031145355,0.0950272768
0.3360414874,0.1599889553,0.0538018259,0.34901474,0.0124378921,0.4111112433,0.0447646024,0.0172111096,0.4136105728,0.0031652113,0.0950948169
0.3363428012,0.1597059851,0.0537607761,0.3492115677,0.0123633175,0.4109778667,0.0445332751,0.0172990239,0.4134949056,0.0032327961,0.0951295749
0.3366476321,0.1594890963,0.053765297,0.3493539763,0.0123086982,0.4108480461,0.0443401727,0.0173971184,0.4133613232,0.0032959643,0.0951937301
0.3369170344,0.1592947489,0.0537541453,0.3495229264,0.0122532889,0.4106641809,0.0441440403,0.0175044353,0.4131731633,0.00335501,0.0952464649
0.3372276765,0.1591583549,0.0537286133,0.3496605073,0.0121972156,0.4104123705,0.0439453433,0.0176015836,0.412898055,0.0034102042,0.095307172
0.3375042451,0.1590754042,0.0537078002,0.3497690916,0.0121405919,0.4101520943,0.0437445015,0.0177071923,0.4126507788,0.0034617972,0.0953572291
0.3377664901,0.1590070704,0.0536913546,0.3498335166,0.0120835202,0.4099189786,0.0435418933,0.0178031394,0.4124120479,0.0035273631,0.0954321125
0.3380152626,0.1589858781,0.053678953,0.3498907489,0.0120260931,0.4096943471,0.0433378606,0.0178900804,0.4121646407,0.0035889511,0.0955802044
0.3382350762,0.1590082342,0.0536702974,0.3499901122,0.0119683937,0.4094452167,0.0431327117,0.0179686208,0.4119257401,0.0036468061,0.09574692
0.3383963511,0.1591023876,0.0536651134,0.350049436,0.0119104973,0.4091578939,0.0429267252,0.0180393205,0.4116791508,0.003701155,0.0959622534
0.3385645117,0.159247607,0.0536478428,0.3501175575,0.0118524717,0.4088201786,0.0427201525,0.0181180024,0.4114103666,0.0037522088,0.096176477
0.3387092012,0.159395467,0.053649089,0.350164069,0.0117943781,0.4084806185,0.0425132207,0.0181891602,0.4111509559,0.0038001635,0.0963894812
0.3388608248,0.1595600666,0.0536386786,0.3501760737,0.0117362716,0.4081540581,0.0423061347,0.0182532757,0.410842796,0.0038452015,0.0966011699
0.3390047588,0.1597540781,0.0536174501,0.3501280133,0.011678202,0.4078118408,0.0420990795,0.0183107967,0.4105176221,0.0038874926,0.0967834536
0.3391278201,0.1599616729,0.0536133913,0.3500241437,0.0116202141,0.4074689505,0.0418922219,0.0183621391,0.4101632887,0.0039544059,0.0969790641
0.3392445809,0.1601949708,0.0536120918,0.3499345357,0.0115623482,0.4071389309,0.0416857124,0.0184076898,0.4098085455,0.004030959,0.0971869236
0.3393682416,0.1604648966,0.0536133642,0.3498325642,0.0115046407,0.4067825774,0.0414925466,0.0184478094,0.4094665544,0.0041035742,0.0973803151
0.3395107546,0.1607437599,0.0536045241,0.349731649,0.0114471242,0.406426952,0.0412994605,0.0184828334,0.4090991825,0.0041849727,0.0975600681
0.339646414,0.1610307629,0.0535862501,0.3496439679,0.011389828,0.4060479172,0.0411065898,0.0185130752,0.4087205595,0.0042745111,0.0977147835
0.3397755729,0.1613133157,0.0535591742,0.3495213076,0.0113327784,0.405670982,0.0409140575,0.0185388268,0.4083079891,0.0043597398,0.0978578457
0.3398870208,0.1615915107,0.053523885,0.349400644,0.011275999,0.4052847295,0.040733517,0.0185719031,0.4078870391,0.004440879,0.09798991
0.3399818147,0.1618879273,0.0535034196,0.3492931751,0.0112195108,0.4049237483,0.0405643237,0.0186118138,0.4074585291,0.0045181352,0.0981228347
0.340071901,0.1621683472,0.0534858982,0.3491981388,0.0111633326,0.4045647653,0.0403949147,0.0186471433,0.4070341759,0.0045917028,0.0982564779
0.3401147872,0.1624229059,0.0534604665,0.349114821,0.011107481,0.4042185682,0.0402254123,0.0186888368,0.4066567204,0.0046617646,0.0983907094
0.3401446024,0.1626738696,0.053438044,0.3490321358,0.0110623874,0.4038533361,0.0400663446,0.0187364764,0.406271428,0.0047284925,0.0985045755
0.3401722842,0.162941626,0.0534184614,0.3489704171,0.0110172642,0.4034704493,0.0399273352,0.0187896713,0.4058688493,0.0047920487,0.0986094065
0.340178115,0.1632448364,0.0534114744,0.3489086125,0.01097214,0.4031009405,0.0397973469,0.0188381415,0.4054899212,0.0048525859,0.0987155975
0.3401827431,0.163552188,0.0533969848,0.3488370856,0.0109270409,0.4027442301,0.0396662423,0.0188821393,0.4050850734,0.0049102482,0.0988230063
0.3401673401,0.1638916083,0.0533754409,0.348728103,0.0108819911,0.4023619764,0.0395436094,0.0189219022,0.4046655043,0.0049651715,0.0989220521
0.3401330761,0.1642518223,0.0533472639,0.3486115786,0.0108370126,0.4019927813,0.039438252,0.0189576538,0.4042230728,0.0050174844,0.0990131652
0.3400990787,0.1646134155,0.053321863,0.3485060356,0.0108011397,0.4016270819,0.0393312091,0.0189986185,0.4037593287,0.0050673081,0.0991147789
0.340056543,0.1649673107,0.0532990944,0.3484020996,0.0107650672,0.401229642,0.0392314405,0.0190356714,0.4032845331,0.0051147575,0.0992262442
0.3400145781,0.1653223654,0.0532788224,0.3482739077,0.010728825,0.4008282721,0.0391299813,0.0190690126,0.4027909416,0.005159941,0.0993297338
0.3399563408,0.1656951689,0.0532609187,0.3481397018,0.0107008573,0.4004318092,0.0390269764,0.0191072474,0.4022882618,0.0052029615,0.099434054
0.3398827519,0.1660681032,0.0532370319,0.3479834171,0.0106724939,0.4000237191,0.0389225614,0.0191418583,0.4017854704,0.0052439163,0.0995391077
0.3398027297,0.1664329306,0.0532074981,0.347806326,0.0106437699,0.3996048295,0.0388168633,0.0191730249,0.4012667153,0.0052828975,0.0996448045
0.3397166572,0.1667977901,0.0531805104,0.3476253814,0.0106147182,0.399183794,0.0387100007,0.0192009173,0.4007330978,0.0053199926,0.0997353067
0.3396171872,0.1671625111,0.0531559464,0.3474408714,0.0105853697,0.3987609213,0.0386020849,0.0192256965,0.4002087777,0.0053552847,0.0998267951
0.3395050683,0.1674967563,0.053126145,0.3472530667,0.0105557532,0.3983591339,0.038500765,0.0192550594,0.399693504,0.0053888523,0.0999116316
0.3393883945,0.1678167351,0.0530913915,0.3470622219,0.0105258957,0.3979849011,0.0383983563,0.0192813681,0.3992018088,0.0054207702,0.0999901241
0.3392457492,0.1681375098,0.0530591895,0.3468541085,0.0104958228,0.3976080329,0.038294959,0.0193047682,0.3987182251,0.0054511094,0.1000697987
0.3390997715,0.1684801599,0.0530223374,0.3466226087,0.010465558,0.3972429946,0.038197753,0.0193253979,0.398214204,0.0054799373,0.100143476
0.338936807,0.1688226156,0.0529880264,0.3463967636,0.0104351236,0.3968685172,0.0380995252,0.019343388,0.3977395762,0.0055073182,0.1002044859
0.3387713738,0.1691783508,0.0529493418,0.3461695814,0.0104045406,0.3965056308,0.0380003667,0.0193588631,0.3972726628,0.0055333131,0.1002670397
0.3386236601,0.1695199007,0.0529131817,0.3459412189,0.0103738286,0.3961405745,0.037900363,0.0193719412,0.3968066029,0.0055646466,0.1003177026
