lemma	variant	isabstract	lexicalunit.comment like '%<##s>%'
aleja sztywnych	1	0	0
alma mater	1	0	0
artysta estradowy	1	0	0
babie lato	1	0	0
badanie prenatalne	1	0	1
badanie rentgenowskie	1	0	1
dichromian sodu	1	0	0
kirysek karłowaty	1	0	0
wertep sufozyjny	1	0	0
budowa ciała	1	0	0
obiekt małej architektury	1	1	0
błona łącznotkankowa	1	0	0
centrum handlowe	1	0	0
centrum dowodzenia	1	0	0
centrum łączności	1	0	0
dymna chata	1	0	0
choroba kesonowa	1	0	0
choroba lokomocyjna	1	0	0
ciąg komunikacyjny	1	0	0
ciąg pieszy	1	0	0
ciało lotne	1	0	0
ciemna masa	1	0	0
cierpienie psychiczne	1	0	0
tawlina jarzębinowa	1	0	0
część ciała	1	0	0
człowiek interesu	1	0	0
deser lodowy	1	0	0
dobra strona	1	0	0
dobra wola	1	0	0
dobre imię	1	0	0
dobry człowiek	1	0	0
dobry duch	1	0	0
punkt programu	1	0	0
dolna część	1	0	1
dolna granica	1	0	1
dom Boży	1	0	0
energia elektryczna	1	0	0
splot słoneczny	1	0	0
druga porcja	1	0	1
dwadzieścia cztery godziny	1	0	0
dyrektor szkoły	1	0	0
dyscyplina naukowa	1	0	0
dział filozofii	1	0	1
działalność gospodarcza	1	0	0
działanie matematyczne	1	0	0
dzień i noc	1	0	0
dzień jutrzejszy	1	0	0
dzień wolny	1	0	0
dzieło poetyckie	1	0	0
język żywy	1	0	0
film fabularny	1	0	0
film krótkometrażowy	1	0	0
forma psychiczna	1	0	0
formacja geologiczna	1	0	0
jednostka masy	1	0	0
gaz sprężony	1	0	0
gaz szlachetny	1	0	0
gaz węglowy	1	0	0
gmina wyznaniowa	1	0	1
górna część	1	0	1
grupa etniczna	2	0	0
główne zagadnienie	1	0	0
homo sapiens	1	0	0
instrument muzyczny	1	0	0
instytucja finansowa	1	0	0
biblioteka publiczna	1	0	0
iskra boża	1	0	0
istota ludzka	1	0	0
istota nadprzyrodzona	1	0	0
jama gardłowa	1	0	0
jama ustna	1	0	0
jednostka administracyjna	1	0	0
jednostka miary	1	0	0
kara pieniężna	1	0	0
klatka piersiowa	1	0	0
kończyna dolna	1	0	0
kończyna górna	1	0	0
własność sądów i decyzji	1	1	0
choroba Strümplla	1	0	0
dziedziczna paraplegia spastyczna	1	0	0
choroba tangierska	2	0	0
list polecony	1	0	0
książę ciemności	1	0	0
leczenie zwierząt	1	0	0
linia demarkacyjna	1	0	0
linia frontu	1	0	0
linia kolejowa	1	0	0
linia kredytowa	1	0	0
linia telefoniczna	1	0	0
rożek angielski	1	0	0
maszyna prosta	1	0	0
dukla wiertnicza	1	0	0
materiał wybuchowy	1	0	0
matka i ojciec	1	0	0
mąż i żona	1	0	0
metal szlachetny	1	0	0
miasto umarłych	1	0	0
miejsce gry	1	0	1
miejsce kultu	1	0	0
miejsce odosobnienia	1	0	0
miejsce wiecznego spoczynku	1	0	0
mocna strona	1	0	0
mól książkowy	1	0	0
moment zwrotny	1	0	0
mur obronny	1	0	0
przetwór mleczny	1	1	0
najlepszy wynik	1	0	0
nakrycie głowy	1	0	0
nakład sił	1	0	0
nauczyciel matematyki	1	0	0
nauczyciel muzyki	1	0	0
nauczyciel szkolny	1	1	0
nauka o materii	1	0	0
nauka o roślinach	1	0	0
nauka o zdrowiu	1	0	0
nauka o zdrowiu zwierząt	1	0	0
nauka ścisła	1	0	0
niebieska planeta	1	0	0
zdrada małżeńska	1	0	0
człowiek ze względu na relacje społeczne	1	1	0
człowiek charakteryzowany w odniesieniu do jego stanu majątkowego	1	1	0
Nowy Targ	1	0	0
obce terytorium	1	0	0
obiekt sportowy	1	0	1
element anatomiczny	1	0	1
olej napędowy	1	0	0
organizacja charytatywna	1	0	1
osoba duchowna	1	0	1
zakład pogrzebowy	1	0	0
paliwo kopalne	1	0	0
pan domu	1	0	0
pani domu	1	0	0
papier wartościowy	1	0	0
park sztywnych	1	0	0
pierwsza pomoc	1	0	0
piętnaście minut	1	0	0
konik na biegunach	1	0	0
plac gry	1	0	1
poczucie własnej godności	1	0	0
podatek od dochodów osobistych	1	0	0
podatek od przedsiębiorstw	1	0	0
podatek od towarów i usług	1	0	0
pogoda ducha	1	0	0
pojazd kołowy	1	0	0
pokój lekcyjny	1	0	0
pole bitwy	1	0	0
pomoc domowa	1	0	0
port lotniczy	1	0	0
potrzeba picia	1	0	0
Wielka Brytania	1	0	0
katastrofa ekologiczna	1	0	0
połączenie nerwowe	1	0	0
praca pisemna	1	0	0
pracownik naukowy	1	0	0
prawa człowieka	1	0	0
prawa stanowe	1	0	0
prawa strona	1	0	0
Prezes Rady Ministrów	1	0	0
proces myślowy	1	0	0
proces podświadomy	1	0	0
przejście graniczne	1	0	0
dekoracja okna	1	0	0
przeniesienie praw	1	0	0
przewód wentylacyjny	1	0	0
przynależność państwowa	1	0	0
ryba morska	1	0	0
punkt widzenia	1	0	0
punkt wyjścia	1	0	0
puste miejsce	1	0	0
Rada Ministrów	1	0	0
regulowanie należności	1	0	0
rejon walk	1	0	0
ród ludzki	1	0	0
obiekt astronomiczny	1	0	0
rozkład moralny	1	0	0
ściana boczna	1	0	1
sejmik relacyjny	1	0	0
człowiek charakteryzowany pod względem wieku	1	1	0
silnik cieplny	1	0	0
silnik odrzutowy	1	0	0
silnik rakietowy	1	0	0
silnik marszowy	1	0	0
silnik wewnętrznego spalania	1	0	0
siły wojskowe	1	0	0
siły zbrojne	1	0	0
utwór wokalny	1	1	0
skarbnica wiedzy	1	0	0
sp. z o.o.	1	0	0
spadek napięcia	1	0	1
specjalista od public relations	1	0	0
sposób rozumowania	1	0	0
spółka akcyjna	1	0	0
spółka cywilna	1	0	0
spółka jawna	1	0	0
spółka komandytowa	1	0	0
