DB ID	Is abstract?	Part of Speech	Lemma
72	False	subst	aleja sztywnych
78	False	subst	alma mater
242	False	subst	babie lato
245	False	verb	bać się
246	False	verb	bać się pokazać na oczy
312	False	verb	bawić się
508	False	verb	brać ... stronę
509	False	verb	brać do serca
510	False	verb	brać do siebie
511	False	verb	brać górę
512	False	verb	brać na rozum
513	False	verb	brać nogi za pas
514	False	verb	brać pod uwagę
515	False	verb	brać poprawkę
516	False	verb	brać udział
543	False	verb	bronić się
573	False	subst	budowa ciała
590	False	verb	budzić się
743	False	verb	chować się
780	False	subst	ciąg komunikacyjny
781	False	subst	ciąg pieszy
793	False	subst	ciało lotne
801	False	verb	ciekawić się
809	False	subst	ciemna masa
832	False	verb	cieszyć się
860	False	verb	cofać się
863	False	verb	cofnąć się
932	False	verb	częstować się
938	False	verb	czołgać się
954	False	verb	czynić coś złego
973	False	subst	człowiek interesu
977	False	verb	dać do myślenia
978	False	verb	dać wiarę
1004	False	verb	dawać do myślenia
1005	False	verb	dawać do zrozumienia
1007	False	verb	dawać wiarę
1041	False	verb	dematerializować się
1048	False	verb	denerwować się
1079	False	subst	dobra strona
1081	False	subst	dobre imię
1092	True	subst	dobry duch
1106	False	verb	dochodzić do wniosku
1108	False	verb	dochowywać się
1116	False	verb	doczekać się
1122	False	verb	dodać gazu
1134	False	verb	dogadać się
1157	False	verb	dokonać życia
1158	False	verb	dokonać żywota
1186	False	subst	Dom Boży
1187	False	verb	domagać się
1198	False	verb	domyślać się
1199	False	verb	domyślić się
1211	False	verb	dopełniać się
1212	False	verb	dopełnić się
1222	False	verb	dopuszczać się
1224	False	verb	dopytywać się
1238	False	verb	dorobić się
1244	False	verb	dorzucić swoje trzy grosze
1254	False	verb	dostać się
1255	False	verb	dostać się w ... ręce
1267	False	verb	dostawać się
1268	False	verb	dostawać się
1299	False	verb	dotrzymać kroku
1309	False	verb	dowiadywać się
1310	False	verb	dowiedzieć się
1338	False	verb	dołączyć się
1348	False	verb	drapować się
1387	False	verb	drzeć się
1408	False	subst	dwadzieścia cztery godziny
1469	False	verb	dziać się
1476	True	subst	dział filozofii
1481	False	verb	działać na nerwy
1482	False	verb	działać w złej wierze
1488	False	subst	działalność gospodarcza
1489	False	subst	działanie matematyczne
1519	False	subst	dzień i noc
1520	False	subst	dzień jutrzejszy
1521	False	subst	dzień wolny
1540	False	subst	dzieło poetyckie
1551	False	verb	dziwić się
1574	False	verb	edukować się
1750	False	subst	film fabularny
1751	False	subst	film krótkometrażowy
1808	False	verb	frasować się
1918	False	subst	gmina wyznaniowa
1923	False	verb	gnębić się
1936	False	verb	godzić się
1938	False	verb	godzić się
1939	False	verb	godzić się
1955	False	verb	gorączkować się
1996	False	verb	grać komedię
1997	False	verb	grać na nerwach
2014	False	verb	gromadzić się
2035	False	subst	grupa etniczna
2037	False	verb	grupować się
2041	False	verb	gryźć się
2080	False	verb	głowić się
2208	False	verb	informować się
2228	False	subst	instrument muzyczny
2257	False	verb	interesować się
2287	False	verb	iść o zakład
2289	False	subst	iskra boża
2299	False	subst	istota ludzka
2300	False	subst	istota nadprzyrodzona
2309	False	verb	izolować się
2325	False	subst	jama ustna
2368	False	subst	jednostka administracyjna
2370	False	subst	jednostka miary
2452	False	subst	kara pieniężna
2561	False	subst	klatka piersiowa
2610	False	verb	kojarzyć się
2697	False	verb	komponować się
2711	False	verb	komunikować się
2722	False	verb	koncentrować się
2733	False	subst	kończyna dolna
2734	False	subst	kończyna górna
2793	False	verb	kontaktować się
2904	False	verb	kręcić się
2905	False	verb	kręcić się
2912	False	verb	kreować się
2913	False	verb	krępować się
2946	False	verb	kryć się
2947	False	verb	kryć się
2974	False	subst	książę ciemności
2983	False	verb	kształcić się
3043	False	verb	kwalifikować się
3052	False	verb	kwiecić się
3065	False	verb	kłaść się
3066	False	verb	kłaść trupem
3070	False	verb	kłopotać się
3080	False	verb	lać się
3081	False	verb	lać łzy
3104	False	subst	leczenie zwierząt
3112	False	verb	legitymować się
3116	False	verb	lękać się
3175	False	subst	linia frontu
3176	False	subst	linia kolejowa
3178	False	subst	linia telefoniczna
3319	False	verb	martwić się
3347	True	subst	materiał wybuchowy
3350	False	subst	matka i ojciec
3355	False	subst	mąż i żona
3387	False	verb	męczyć się
3409	False	subst	metal szlachetny
3431	False	subst	miasto umarłych
3435	False	verb	mieć na względzie
3436	False	verb	mieć wzgląd
3444	True	subst	miejsce kultu
3445	False	subst	miejsce odosobnienia
3447	False	subst	miejsce wiecznego spoczynku
3465	False	verb	mieszać się
3548	False	subst	mocna strona
3558	False	verb	modlić się
3571	False	subst	mól książkowy
3574	False	subst	moment zwrotny
3612	False	verb	mówić na ucho
3652	False	verb	mylić się
3674	False	verb	nabawić się
3678	False	verb	nabijać w butelkę
3691	False	verb	nachylić się
3704	False	verb	nadać się
3706	False	verb	nadawać imię
3708	False	verb	nadawać się
3727	False	verb	nadstawić głowy
3728	False	verb	nadstawić karku
3780	False	verb	nakierować się
3782	False	subst	nakrycie głowy
3785	False	subst	nakład sił
3787	False	verb	nakładać obowiązek
3798	False	verb	należeć się
3799	False	verb	należeć się
3819	False	verb	napędzić stracha
3821	False	verb	napełniać się
3823	False	verb	napełnić się
3824	False	verb	napić się
3854	False	verb	narodzić się
3884	False	verb	nastraszyć się
3896	False	verb	natknąć się
3907	False	verb	natykać się
3912	False	verb	nauczyć się
3914	False	subst	nauczyciel matematyki
3915	False	subst	nauczyciel muzyki
3916	True	subst	nauczyciel szkolny
3921	False	subst	nauka o materii
3922	False	subst	nauka o roślinach
3923	False	subst	nauka o zdrowiu
3924	False	subst	nauka o zdrowiu zwierząt
3925	False	subst	nauka ścisła
3946	False	verb	nazywać się
3951	False	verb	nałożyć obowiązek
3982	False	verb	nie móc pokazać się ... na oczy
3983	False	verb	nie móc spojrzeć w oczy
3990	False	verb	nie omieszkać
4000	False	verb	nie śmieć spojrzeć w oczy
4019	False	subst	niebieska planeta
4184	False	verb	niepokoić się
4256	False	verb	nieść pomoc
4484	False	verb	nosić w pamięci
4504	False	subst	Nowy Targ
4558	False	verb	obawiać się
4560	False	subst	obce terytorium
4575	False	verb	obdarzać uczuciem
4586	False	verb	obejść się
4600	True	subst	obiekt sportowy
4608	False	verb	objąć umysłem
4659	False	verb	obrócić się
4663	False	verb	obronić się
4739	False	verb	odbić się
4740	False	verb	odbić się
4749	False	verb	odbywać się
4769	False	verb	oddalać się
4771	False	verb	oddalić się
4784	False	verb	odegrać się
4796	False	verb	odezwać się
4798	False	verb	odgrażać się
4799	False	verb	odgrywać rolę
4807	False	verb	odkręcić się
4836	False	verb	odnieść wrażenie
4837	False	verb	odnieść się
4841	False	verb	odnosić się
4842	False	verb	odnosić się
4899	False	verb	odróżniać się
4901	False	verb	odrywać się
4940	False	verb	odwinąć się
4946	False	verb	odwrócić się
4959	False	verb	odzywać się
4960	False	verb	odżywiać się
4975	False	verb	ogarnąć umysłem
4983	False	verb	oglądać się
5061	False	subst	olej napędowy
5082	False	verb	opamiętać się
