DB ID	Is abstract?	Part of Speech	Lemma
632	False	subst	błona łącznotkankowa
1668	False	subst	język żywy
1788	False	subst	formacja geologiczna
1869	False	subst	gaz szlachetny
1870	False	subst	gaz węglowy
2324	False	subst	jama gardłowa
3174	False	subst	linia demarkacyjna
3177	False	subst	linia kredytowa
3338	False	subst	maszyna prosta
5239	False	subst	osocze krwi
5357	False	subst	paliwo kopalne
7945	False	subst	silnik rakietowy
8168	False	subst	spadek napięcia
8284	False	subst	spółka akcyjna
8285	False	subst	spółka cywilna
8286	False	subst	spółka jawna
8287	False	subst	spółka komandytowa
8694	False	subst	system językowy
10502	False	subst	wyrok skazujący
10503	False	subst	wyrok uniewinniający
11824	False	subst	związek nieorganiczny
11825	False	subst	związek organiczny
11930	False	subst	złota akcja
12140	True	subst	stan psychiczny
12144	False	subst	figura wypukła
12452	False	subst	bryła geometryczna
12463	False	subst	bryła obrotowa
12470	False	subst	linia prosta
12492	False	subst	linia krzywa
12520	False	subst	stan terminalny
12635	False	subst	owocówka jabłkóweczka
12680	False	subst	ciało stałe
16463	False	subst	jądro komórkowe
16464	False	subst	błona komórkowa
16474	False	subst	układ krwionośny
16594	False	subst	trąbka Eustachiusza
16860	False	subst	układ oddechowy
16861	False	subst	układ trawienny
16862	False	subst	układ moczowo-płciowy
17036	False	subst	jednostka leksykalna
17038	False	subst	znak językowy
17062	False	subst	nazwa własna
17063	False	subst	nazwa pospolita
17065	False	subst	wyraz pospolity
17105	False	subst	akt oskarżenia
17106	False	subst	akt notarialny
17207	False	subst	broń palna
17208	False	subst	broń sieczna
17264	False	subst	proces ekonomiczny
17326	False	subst	obrót handlowy
17352	False	subst	rzecz ruchoma
17354	False	subst	rzecz nieruchoma
17452	False	subst	państwo związkowe
17516	False	subst	orkiestra kameralna
17531	False	subst	stan trzeci
17676	False	subst	punkt typograficzny
17768	False	subst	mechanika kwantowa
17888	False	subst	przyrząd optyczny
17949	False	subst	koło zamachowe
18298	False	subst	broń miotająca
18325	False	subst	pojazd mechaniczny
18337	False	subst	pistolet automatyczny
18346	False	subst	broń biała
18369	False	subst	druk ulotny
18420	True	subst	urządzenie pomiarowe
18440	False	subst	ogniwo elektryczne
18448	False	subst	broń obuchowa
18473	False	subst	mapa sztabowa
19761	False	subst	figura płaska
20906	False	subst	prawo rzeczowe
23281	False	subst	człowiek rozumny
23345	True	subst	pojazd niekołowy
23357	False	subst	język naturalny
23486	False	subst	figura stylistyczna
23988	False	subst	anioł stróż
24635	False	subst	układ planetarny
24744	False	subst	hetman wielki
24834	False	subst	play off
24855	False	subst	sąd grodzki
24917	False	subst	część mowy
24967	False	subst	koziorożec alpejski
24993	False	subst	panda wielka
25014	False	subst	skunks zwyczajny
25133	False	subst	proces fizjologiczny
