błona łącznotkankowa


język żywy


formacja geologiczna


gaz szlachetny


gaz węglowy


jama gardłowa


linia demarkacyjna


linia kredytowa


maszyna prosta


osocze krwi


paliwo kopalne


silnik rakietowy


spadek napięcia


spółka akcyjna


spółka cywilna


spółka jawna


spółka komandytowa


system językowy


wyrok skazujący


wyrok uniewinniający


związek nieorganiczny


związek organiczny


złota akcja


stan psychiczny


figura wypukła


bryła geometryczna


bryła obrotowa


linia prosta


linia krzywa


stan terminalny


owocówka jabłkóweczka


ciało stałe


jądro komórkowe


błona komórkowa


układ krwionośny


trąbka Eustachiusza


układ oddechowy


układ trawienny


układ moczowo-płciowy


jednostka leksykalna


znak językowy


nazwa własna


nazwa pospolita


wyraz pospolity


akt oskarżenia


akt notarialny


broń palna


broń sieczna


proces ekonomiczny


obrót handlowy


rzecz ruchoma


rzecz nieruchoma


państwo związkowe


orkiestra kameralna


stan trzeci


punkt typograficzny


mechanika kwantowa


przyrząd optyczny


koło zamachowe


broń miotająca


pojazd mechaniczny


pistolet automatyczny


broń biała


druk ulotny


urządzenie pomiarowe


ogniwo elektryczne


broń obuchowa


mapa sztabowa


figura płaska


prawo rzeczowe


człowiek rozumny


pojazd niekołowy


język naturalny


figura stylistyczna


anioł stróż


układ planetarny


hetman wielki


play off


sąd grodzki


część mowy


koziorożec alpejski


panda wielka


skunks zwyczajny


proces fizjologiczny


blok energetyczny


magnes trwały


okręt liniowy


pistolet maszynowy


reaktor jądrowy


silnik wysokoprężny


system operacyjny


urządzenie nadawczo-odbiorcze


układ kierowniczy


znak nawigacyjny


aparat rentgenowski


lebiodka majeranek


układ scalony


handel wewnętrzny


ryba wędrowna


mniszek pospolity


broń drzewcowa


pistolet gazowy


styl dowolny


wyrok prawomocny


rysunek techniczny


bilans płatniczy


bilans handlowy


podmiot gospodarczy


rynek kapitałowy


system energetyczny


rynek pieniężny


lis srebrny


wielki wezyr


plan amerykański


kredyt konsumpcyjny


list zastawny


rachunek bieżący


rynek podstawowy


rynek równoległy


inwalida wojenny


oskarżyciel posiłkowy


świadek koronny


dochód narodowy


dodatek funkcyjny


dodatek rodzinny


inwestor strategiczny


kapitał akcyjny


kapitał zakładowy


majątek trwały


podatek pośredni


prospekt emisyjny


ruch kołowy


skład celny


alkohol etylowy


olej silnikowy


węgiel brunatny


węgiel kamienny


wolny rodnik


areszt tymczasowy


stan wojenny


stan wyjątkowy


vacatio legis


sąd polubowny


sąd polubowny


ogień krzyżowy


list intencyjny


plan ogólny


proces karny


stosunek prawny


układ zbiorowy


produkt uboczny


spirytus surowy


węgiel drzewny


dobór naturalny


grzech pierworodny


papierek lakmusowy


sen zimowy


kapitał finansowy


czas uniwersalny


list przewozowy


ciężar właściwy


ostry strzał


kategoria gramatyczna


oficer ogniowy


sędzia przysięgły


plan pełny


przedstawiciel społeczny


sąd honorowy


sędzia penitencjarny


stan krytyczny


liberalizm gospodarczy


drążek sterowy


gruczoł krokowy


choroba dziedziczna


jad kiełbasiany


kamień młyński


Sąd Boży


wał korbowy


hetman polny


immunitet dyplomatyczny


list pasterski


ogień zaporowy


urlop okolicznościowy


pilot automatyczny


rozkaz dzienny


sąd doraźny


sąd doraźny


sąd polowy


słuch absolutny


wikariusz generalny


wypadek losowy


dysk optyczny


mikroskop elektronowy


satelita telekomunikacyjny


ładunek jądrowy


dach dwuspadowy


dach mansardowy


dach łamany


