szlachetnie urodzić
świeżo upiec
polski nowy
nowy polski
niski naczelny
naczelny niski
wysoki naczelny
naczelny wysoki
stary ochotniczka
stary szeregowy
święty sakrament
święty ofiara
ofiara święty
wysoki czas
czas wysoki
blady ranek
aksamitny rewolucja
babski lek
babski gadać
barani głowa
biały dama
biały księga
biały niedziela
biały plama
biały stopa
biały szkoła
biały małżeństwo
biały szaleństwo
biały tango
biały wino
biały chleb
biały człowiek
biały dzień
biały karzeł
biały kruk
biały marsz
biały mazur
biały metal
biały montaż
biały murzyn
biały proszek
biały sos
biały sport
biały szafir
biały tydzień
biały walc
biały węgiel
biały wywiad
blady twarz
blady świt
bliski spotkanie
błędny koło
błędny rycerz
bociani gniazdo
bosy antek
boży ciało
boży drzewko
boży narodzenie
brązowy medal
brudny robota
brzydki wyraz
brzydki zapach
brzydki kaczątko
bystry głowa
całkowity negliż
cały ton
cesarski ciąć
chamski cyc
chamski sznurek
chiński kapelusz
chłonny rynek
chłopski filozof
chocholi taniec
chytry sztuka
chytry lis
cichy msza
cichy woda
cichy wspólnik
ciekły kryształ
cielęcy zachwyt
ciemny kuchnia
ciemny masa
ciemny mogiła
cienki bolek
ciepły wdowa
ciepły wdówka
ciepły gniazdko
ciepły kraj
ciężki artyleria
ciężki łapa
ciężki pięść
ciężki ręka
ciężki krążownik
ciężki pieniądz
ciężki sprzęt
cioteczny siostra
cioteczny dziadek
cudowny dziecko
cwany gapa
cyfrowy anioł
czarny dziura
czarny godzina
czarny jagoda
czarny kawa
czarny księga
czarny lista
czarna magia
czarny msza
czarny ospa
czarny owca
czarny polewka
czarny porzeczka
czarna robota
czarny rozpacz
czarna skrzynka
czarny podniebienie
czarny pijar
czarny bez
czarny charakter
czarny chleb
czarny diament
czarny humor
czarny koń
czarny lud
czarny marsz
czarny punkt
czarny rynek
czarny zwierz
czerwony kapusta
czerwony kartka
czerwony krwinka
czerwona księga
czerwony porzeczka
czerwony wino
czerwony cedr
czerwony sztandar
czeski błąd
czeski szkło
częstochowski rym
czwarty władza
czwarty wymiar
czysty rozum
czysty strzał
damski bokser
dantejski scena
diabelski młyn
diabelski wynalazek
długi piłka
długi metraż
długi weekend
dobry strona
dobry wola
dobry imię
dobry słowo
dobry wujek
dojny krowa
drętwy gadka
drętwy mowa
drobny ciułacz
drugi broda
drugi młodość
drugi natura
drugi połowa
drugi dno
duchowy ojciec
duży litera
duży ekran
duży fiat
duży palec
duży pokój
dziki karta
dziki plaża
dziki bez
dziki lokator
dziki zachód
dziki mięso
dziurawy worek
fałszywy prorok
francuski piesek
fryzyjski koń
głęboki sen
głęboki talerz
głodny kawałek
głuchy cisza
głuchy telefon
głupi jaś
gorący głowa
gorący linia
gorący źródło
gorący czas
gorący okres
gorący pieniądz
zły połowa
gorzki pigułka
gościnny występ
grobowy cisza
gruby kreska
gruby ryba
gruby zwierzyna
gumowy ucho
heglowski ukąszenie
homerycki śmiech
homeryczny śmiech
honorowy bramka
honorowy gol
ikarowy lot
janusowy oblicze
jedenasty muza
jednoręki bandyta
jedwabny życie
jedyny pierścień
judaszowski pocałunek
judaszowy pocałunek
kaczy chód
kamienny serce
kawalerski fantazja
kobiecy ręka
koci mama
koci muzyka
kokosowy interes
konstruktywny opozycja
koński dawka
koński kuracja
koński ogon
koński ząb
koński okulary
koński zaloty
koński zdrowie
koronkowy robota
koronować głowa
kozia bródka
kozia nóżka
kreci robota
krótki kołdra
krótki pamięć
krótki metraż
krótki oddech
krótki róg
krótki termin
krótki wzrok
krótki spięcie
krzyżowy ogień
kukułczy jajo
kurny chata
kurzy pamięć
kurzy ślepota
kurzy móżdżek
kwaśny mleko
kwaśny deszcz
lekki krążownik
dobry połowa
lewy strona
lotny finisz
ludzki szmata
lwi pazur
lwi część
lwia paszcza
lwi paszczka
łabędzi śpiew
łabędzi szyja
łakomy kąsek
łaskawy chleb
łysy pała
madejowy łoże
majowy kierowca
majowy pracownik
majowy robotnik
mały czarna
mały gastronomia
mały litera
mały ojczyzna
mały poligrafia
mały stabilizacja
małpi gaj
mały fiat
mały sabotaż
mały szlem
małżeński stadło
mamuci skocznia
marcowy docent
marny grosz
martwy dusza
martwy fala
martwy natura
martwy pole
martwy punkt
matuzalemowy wiek
mądry głowa
meksykański fala
miękki ołówek
miękki lądowanie
milowy krok
miodowy miesiąc
młody kadra
młody para
mały zło
mocny strona
moherowy beret
mokry robota
mysi ogonek
bliski rodzina
nasz człowiek
